schema_version,run_id,suite,grammar_id,parser,case_id,metric,value
1,20260726T135725.806593Z,earley,cfg2,lean,earley.cfg2.n001,cached_endpoints,1
1,20260726T135725.806593Z,earley,cfg2,lean,earley.cfg2.n001,memo_entries,2
1,20260726T135725.806593Z,earley,cfg2,lean,earley.cfg2.n001,memo_tags,1
1,20260726T135725.806593Z,earley,cfg2,lean,earley.cfg2.n001,representative_tree_nodes,4
1,20260726T135725.806593Z,earley,cfg2,lean,earley.cfg2.n001,successful_ends,1
1,20260726T135725.806593Z,earley,cfg1,lean,earley.cfg1.n001,cached_endpoints,2
1,20260726T135725.806593Z,earley,cfg1,lean,earley.cfg1.n001,memo_entries,3
1,20260726T135725.806593Z,earley,cfg1,lean,earley.cfg1.n001,memo_tags,1
1,20260726T135725.806593Z,earley,cfg1,lean,earley.cfg1.n001,representative_tree_nodes,6
1,20260726T135725.806593Z,earley,cfg1,lean,earley.cfg1.n001,successful_ends,1
1,20260726T135725.806593Z,earley,cfg2,lean,earley.cfg2.n003,cached_endpoints,6
1,20260726T135725.806593Z,earley,cfg2,lean,earley.cfg2.n003,memo_entries,4
1,20260726T135725.806593Z,earley,cfg2,lean,earley.cfg2.n003,memo_tags,1
1,20260726T135725.806593Z,earley,cfg2,lean,earley.cfg2.n003,representative_tree_nodes,32
1,20260726T135725.806593Z,earley,cfg2,lean,earley.cfg2.n003,successful_ends,3
1,20260726T135725.806593Z,earley,cfg2,lean,earley.cfg2.n005,cached_endpoints,15
1,20260726T135725.806593Z,earley,cfg2,lean,earley.cfg2.n005,memo_entries,6
1,20260726T135725.806593Z,earley,cfg2,lean,earley.cfg2.n005,memo_tags,1
1,20260726T135725.806593Z,earley,cfg2,lean,earley.cfg2.n005,representative_tree_nodes,100
1,20260726T135725.806593Z,earley,cfg2,lean,earley.cfg2.n005,successful_ends,5
1,20260726T135725.806593Z,earley,cfg2,lean,earley.cfg2.n007,cached_endpoints,28
1,20260726T135725.806593Z,earley,cfg2,lean,earley.cfg2.n007,memo_entries,8
